Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Impact,Bowling_Impact,Total_Impact,Player_Role
2020.0,Trent Boult,15.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,344.0,457.0,25.0,4/18,18.28,7.97,13.76,1.0,0.0,0.0,8.515,8.515,Bowler
2019.0,Trent Boult,5.0,2.0,7.0,6,7.0,4.0,175.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,114.0,163.0,5.0,2/27,32.6,8.57,22.8,0.0,0.0,4.5600000000000005,4.695,9.255,All-rounder
2018.0,Trent Boult,14.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,316.0,466.0,18.0,2/20,25.88,8.84,17.55,0.0,0.0,0.0,6.33257142857143,6.33257142857143,Bowler
2017.0,Trent Boult,6.0,1.0,5.0,5*,0.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,143.0,216.0,5.0,2/30,43.2,9.06,28.6,0.0,0.0,1.666666666666667,2.7199999999999998,4.386666666666667,Unknown
2016.0,Trent Boult,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,39.0,1.0,1/39,39.0,9.75,24.0,0.0,0.0,0.0,0.0,0.0,Unknown
2015.0,Trent Boult,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,168.0,236.0,9.0,3/19,26.22,8.42,18.66,0.0,0.0,0.0,6.474571428571429,6.474571428571429,Bowler
,Tripurana Vijay,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Tristan Stubbs,14.0,6.0,378.0,71*,54.0,198.0,190.91,0.0,3.0,24.0,26.0,7.0,0.0,14.0,12.0,15.0,3.0,2/11,5.0,7.5,4.0,0.0,0.0,8.428571428571429,6.571428571428571,15.0,All-rounder
2023.0,Tristan Stubbs,2.0,0.0,25.0,20,12.5,31.0,80.65,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,14.0,1.0,1/14,14.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,Unknown
2022.0,Tristan Stubbs,2.0,0.0,2.0,2,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2024.0,Tushar Deshpande,13.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,288.0,424.0,17.0,4/27,24.94,8.83,16.94,1.0,0.0,0.0,6.558538461538461,6.558538461538461,Bowler
2023.0,Tushar Deshpande,16.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,341.0,564.0,21.0,3/45,26.86,9.92,16.24,0.0,0.0,0.0,5.63675,5.63675,Bowler
2022.0,Tushar Deshpande,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,42.0,63.0,1.0,1/40,63.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,Unknown
2020.0,Tushar Deshpande,5.0,1.0,21.0,20*,21.0,12.0,175.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,102.0,192.0,3.0,2/37,64.0,11.29,34.0,0.0,0.0,5.68,1.2550000000000003,6.9350000000000005,Batsman
2024.0,Umran Malik,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,0.0,0/15,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2023.0,Umran Malik,8.0,1.0,19.0,19*,19.0,8.0,237.5,0.0,0.0,1.0,2.0,1.0,0.0,8.0,120.0,217.0,5.0,2/32,43.4,10.85,24.0,0.0,0.0,5.52,1.5125000000000002,7.0325,Batsman
2022.0,Umran Malik,14.0,3.0,4.0,3*,4.0,8.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,295.0,444.0,22.0,5/25,20.18,9.03,13.41,1.0,1.0,1.6533333333333333,7.8061428571428575,9.459476190476192,Bowler
2021.0,Umran Malik,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,96.0,2.0,1/21,48.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,Unknown
2024.0,Vaibhav Arora,10.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,180.0,276.0,11.0,3/27,25.09,9.2,16.36,0.0,0.0,2.6666666666666665,6.032,8.698666666666666,Bowler
2023.0,Vaibhav Arora,5.0,2.0,3.0,2*,0.0,2.0,150.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,96.0,146.0,5.0,2/30,29.2,9.13,19.2,0.0,0.0,4.0,5.095,9.094999999999999,All-rounder
2022.0,Vaibhav Arora,5.0,2.0,5.0,2,2.5,13.0,38.46,0.0,0.0,0.0,0.0,1.0,0.0,5.0,107.0,164.0,3.0,2/21,54.67,9.2,35.67,0.0,0.0,1.2256,2.3000000000000003,3.5256000000000003,Unknown
,Vaibhav Suryavanshi,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
,Vansh Bedi,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Varun Chakaravarthy,14.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,300.0,402.0,21.0,3/16,19.14,8.04,14.29,0.0,0.0,0.0,8.08,8.08,Bowler
2023.0,Varun Chakaravarthy,14.0,1.0,1.0,1,1.0,9.0,11.11,0.0,0.0,0.0,0.0,4.0,0.0,14.0,316.0,429.0,20.0,4/15,21.45,8.15,15.8,1.0,0.0,0.3762666666666667,7.777857142857142,8.154123809523808,Bowler
2022.0,Varun Chakaravarthy,11.0,4.0,12.0,10*,0.0,18.0,66.67,0.0,0.0,2.0,0.0,2.0,0.0,11.0,234.0,332.0,6.0,1/22,55.33,8.51,39.0,0.0,0.0,1.7778666666666667,2.563181818181818,4.341048484848485,Unknown
2021.0,Varun Chakaravarthy,17.0,2.0,2.0,2*,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,408.0,448.0,18.0,3/13,24.88,6.58,22.66,0.0,0.0,1.4933333333333332,7.322235294117647,8.815568627450979,Bowler
2020.0,Varun Chakaravarthy,13.0,1.0,10.0,7*,5.0,15.0,66.66,0.0,0.0,0.0,0.0,3.0,0.0,13.0,312.0,356.0,17.0,5/20,20.94,6.84,18.35,0.0,1.0,2.1776,8.353538461538461,10.531138461538461,Bowler
2019.0,Varun Chakaravarthy,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,35.0,1.0,1/35,35.0,11.66,18.0,0.0,0.0,0.0,0.0,0.0,Unknown
,Venkata Satyanarayana Penmetsa,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Venkatesh Iyer,14.0,5.0,370.0,70,46.25,233.0,158.8,0.0,4.0,35.0,19.0,4.0,0.0,15.0,6.0,28.0,0.0,0/28,0.0,28.0,0.0,0.0,0.0,8.271428571428572,4.0,12.271428571428572,Batsman
2023.0,Venkatesh Iyer,14.0,0.0,404.0,104,28.86,277.0,145.85,1.0,2.0,32.0,21.0,3.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.769561904761904,7.0,13.769561904761904,All-rounder
2022.0,Venkatesh Iyer,12.0,1.0,182.0,50*,16.55,169.0,107.69,0.0,1.0,17.0,7.0,4.0,0.0,12.0,24.0,46.0,0.0,0/8,0.0,11.5,0.0,0.0,0.0,4.3624,4.25,8.612400000000001,All-rounder
2021.0,Venkatesh Iyer,10.0,1.0,370.0,67,41.11,288.0,128.47,0.0,4.0,37.0,14.0,7.0,0.0,10.0,51.0,69.0,3.0,2/29,23.0,8.11,17.0,0.0,0.0,7.514666666666668,5.795000000000001,13.309666666666669,Batsman
,Vignesh Puthur,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Vijay Shankar,7.0,2.0,83.0,17,16.6,72.0,115.28,0.0,0.0,7.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.4021333333333335,7.0,11.402133333333333,Bowler
2023.0,Vijay Shankar,14.0,2.0,301.0,63*,37.63,188.0,160.11,0.0,3.0,27.0,15.0,2.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.4389714285714295,7.0,14.43897142857143,All-rounder
2022.0,Vijay Shankar,4.0,0.0,19.0,13,4.75,35.0,54.29,0.0,0.0,1.0,0.0,3.0,0.0,4.0,9.0,15.0,0.0,0/1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2021.0,Vijay Shankar,7.0,0.0,58.0,28,11.6,52.0,111.53,0.0,0.0,1.0,3.0,3.0,0.0,7.0,66.0,100.0,3.0,2/19,33.33,9.09,22.0,0.0,0.0,3.902133333333334,3.4318571428571434,7.333990476190477,Unknown
2020.0,Vijay Shankar,7.0,1.0,97.0,52*,24.25,96.0,101.04,0.0,1.0,10.0,1.0,1.0,0.0,7.0,79.0,82.0,4.0,1/11,20.5,6.22,19.75,0.0,0.0,4.920114285714286,7.647142857142857,12.567257142857143,Bowler
2019.0,Vijay Shankar,15.0,2.0,244.0,40*,20.33,193.0,126.42,0.0,0.0,11.0,12.0,10.0,0.0,15.0,48.0,70.0,1.0,1/11,70.0,8.75,48.0,0.0,0.0,4.9976,1.7249999999999999,6.7226,Batsman
2018.0,Vijay Shankar,13.0,7.0,212.0,54*,53.0,148.0,143.24,0.0,1.0,11.0,11.0,6.0,0.0,13.0,30.0,58.0,1.0,1/22,58.0,11.6,30.0,0.0,0.0,7.973579487179488,0.31538461538461554,8.288964102564103,Batsman
2017.0,Vijay Shankar,4.0,2.0,101.0,63*,50.5,75.0,134.66,0.0,1.0,12.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2014.0,Vijay Shankar,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,0.0,0/19,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
,Vipraj Nigam,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Virat Kohli,15.0,3.0,741.0,113*,61.75,479.0,154.7,1.0,5.0,62.0,38.0,8.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.933333333333334,7.0,15.933333333333334,All-rounder
2023.0,Virat Kohli,14.0,2.0,639.0,101*,53.25,457.0,139.82,2.0,6.0,65.0,16.0,13.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.157104761904762,7.0,16.157104761904762,All-rounder
2022.0,Virat Kohli,16.0,1.0,341.0,73,22.73,294.0,115.99,0.0,2.0,32.0,8.0,9.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.1614666666666675,7.0,12.161466666666668,Bowler
2021.0,Virat Kohli,15.0,1.0,405.0,72*,28.92,339.0,119.46,0.0,3.0,43.0,9.0,8.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.899200000000001,7.0,12.8992,Bowler
2020.0,Virat Kohli,15.0,4.0,466.0,90*,42.36,384.0,121.35,0.0,3.0,23.0,11.0,3.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.024800000000001,7.0,14.0248,All-rounder
2019.0,Virat Kohli,14.0,0.0,464.0,100,33.14,328.0,141.46,1.0,2.0,46.0,13.0,5.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.994895238095238,7.0,13.99489523809524,All-rounder
2018.0,Virat Kohli,14.0,3.0,530.0,92*,48.18,381.0,139.1,0.0,4.0,52.0,18.0,8.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.135161904761905,7.0,15.135161904761905,All-rounder
2017.0,Virat Kohli,10.0,0.0,308.0,64,30.8,252.0,122.22,0.0,4.0,23.0,11.0,6.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.5232,7.0,13.5232,All-rounder
